product_id,part_number,description,slug,generated_image_url,resolution,file_size_kb,category_updated,status
de12ddf8eac29ee0,320/09469,Piston Ring Kit (+0.5)   -  4.8 BS3,320-09469-piston-ring-kit-05-48-bs3,/images/products/320-09469-piston-ring-kit-05-48-bs3.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
5578d06f52866788,320/09472,Big End Bearing Kit (-0.5)   -  4.8 BS3,320-09472-big-end-bearing-kit-05-48-bs3,/images/products/320-09472-big-end-bearing-kit-05-48-bs3.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
4ec22f7530afab28,320/09382,TOP GASKET KIT mec,320-09382-top-gasket-kit-mec,/images/products/320-09382-top-gasket-kit-mec.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
7786cbf46990a153,333/Y7029,PUMP FUEL TRANSFER,333-y7029-pump-fuel-transfer,/images/products/333-y7029-pump-fuel-transfer.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
9da21b963b7e8ea3,320/03440,CRANKSHAFTMACHINING444LT,320-03440-crankshaftmachining444lt,/images/products/320-03440-crankshaftmachining444lt.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
a8b53b77c0b08fd1,32/925716,INTAKE-AIRFILTER',32-925716-intake-airfilter,/images/products/32-925716-intake-airfilter.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
405829cd85531b42,581/R5206,FILTER - TRANSMISSION 15 MICRON,581-r5206-filter-transmission-15-micron,/images/products/581-r5206-filter-transmission-15-micron.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
019d610fec4fccf2,32/925421,FILLER BREATHER CAP,32-925421-filler-breather-cap,/images/products/32-925421-filler-breather-cap.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
80cc5d8f70078f3b,1604/2051,ADAPTOR G1/4A M/M,1604-2051-adaptor-g1-4a-m-m,/images/products/1604-2051-adaptor-g1-4a-m-m.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
44a8868310da6149,1604/2052,ADAPTOR G3/8A M/M,1604-2052-adaptor-g3-8a-m-m,/images/products/1604-2052-adaptor-g3-8a-m-m.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
edc9b3b3698620c1,2201/0011,CLIP WORMDRIVE 40/64mm,2201-0011-clip-wormdrive-40-64mm,/images/products/2201-0011-clip-wormdrive-40-64mm.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
7e5ae980cf3d1cdf,2201/0012,CLIP WORMDRIVE 46/70mm#JS220,2201-0012-clip-wormdrive-46-70mmjs220,/images/products/2201-0012-clip-wormdrive-46-70mmjs220.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
c13eaaaee45c7692,828/00237,O-RING,828-00237-o-ring,/images/products/828-00237-o-ring.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
af039c63de61a1e0,613/00700,HOSE,613-00700-hose,/images/products/613-00700-hose.webp,640x480,8,PRESERVED,PRODUCED_AND_INTEGRATED
f2d2d773cfbad23b,25/618902,KIT SEAL,25-618902-kit-seal,/images/products/25-618902-kit-seal.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
f14cf94897dbf0ee,333/G5390,TWIN PUMP 36/29ccr,333-g5390-twin-pump-36-29ccr,/images/products/333-g5390-twin-pump-36-29ccr.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
82e484467a258f50,333/G5391,TWIN PUMP 37/33ccr,333-g5391-twin-pump-37-33ccr,/images/products/333-g5391-twin-pump-37-33ccr.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
18fe6feac652c24a,811/10061,PIVOTPIN,811-10061-pivotpin,/images/products/811-10061-pivotpin.webp,640x480,5,Pins- JCB,PRODUCED_AND_INTEGRATED
17ea333d730856ac,811/20005,PIVOTPIN,811-20005-pivotpin,/images/products/811-20005-pivotpin.webp,640x480,5,Pins- JCB,PRODUCED_AND_INTEGRATED
ef188d9f49bc56fb,811/50436,PINPIVOT,811-50436-pinpivot,/images/products/811-50436-pinpivot.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
6a76e9af6c80fe17,811/50569,PIVOT PIN 60X322MM,811-50569-pivot-pin-60x322mm,/images/products/811-50569-pivot-pin-60x322mm.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
f90f775582f44e4e,811/80008,PIVOTPIN,811-80008-pivotpin,/images/products/811-80008-pivotpin.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
5789296003f06f1d,813/00426,SEAL PIVOT PIN 50X60X5,813-00426-seal-pivot-pin-50x60x5,/images/products/813-00426-seal-pivot-pin-50x60x5.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
de36d8092f3c5ddc,920/01647,KITSEAL,920-01647-kitseal,/images/products/920-01647-kitseal.webp,640x480,14,Seals & Seals Kit,PRODUCED_AND_INTEGRATED
f44a9460a67df299,991/00135,SEALKIT,991-00135-sealkit,/images/products/991-00135-sealkit.webp,640x480,14,Seals & Seals Kit,PRODUCED_AND_INTEGRATED
602ec0a8fe7246eb,991/00157,SEAL KIT SERVICE,991-00157-seal-kit-service,/images/products/991-00157-seal-kit-service.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
97fe0ce700ae8230,991/20021,UNIVERSAL SEAL KIT,991-20021-universal-seal-kit,/images/products/991-20021-universal-seal-kit.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
d6339bed83b8740a,550/42888,SEAL KIT,550-42888-seal-kit,/images/products/550-42888-seal-kit.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
bb4c926bd52118e9,550/42895,SEAL KIT,550-42895-seal-kit,/images/products/550-42895-seal-kit.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
31e20d37ad7ef28f,819/00133,SPACER 50x120x4.0m,819-00133-spacer-50x120x40m,/images/products/819-00133-spacer-50x120x40m.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
2945662966cd1bbb,819/00134,SPACER,819-00134-spacer,/images/products/819-00134-spacer.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
c35eeafaad3a1273,823/00377,PLAIN WASHER,823-00377-plain-washer,/images/products/823-00377-plain-washer.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
affcccf8b3bf96b6,25/220998,Valve solenoid,25-220998-valve-solenoid,/images/products/25-220998-valve-solenoid.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
f935a623b86514b8,04/600786,TORQUE CONVERTOR W,04-600786-torque-convertor-w,/images/products/04-600786-torque-convertor-w.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
95c4e9728e5beeb2,04/500300,DRIVE PLATE KIT,04-500300-drive-plate-kit,/images/products/04-500300-drive-plate-kit.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
d902804f4b2c35fa,155/10600,Lock nut and Seal,155-10600-lock-nut-and-seal,/images/products/155-10600-lock-nut-and-seal.webp,640x480,7,PRESERVED,PRODUCED_AND_INTEGRATED
cad4e58918b86cb0,459/10143,GAGEARLEVERTURRET,459-10143-gagearleverturret,/images/products/459-10143-gagearleverturret.webp,640x480,13,PRESERVED,PRODUCED_AND_INTEGRATED
0428bdf1ca45bd04,459/50511,GEAR -2ND,459-50511-gear-2nd,/images/products/459-50511-gear-2nd.webp,640x480,13,PRESERVED,PRODUCED_AND_INTEGRATED
