part_number,description,category,original_image,original_resolution,final_image,final_resolution,image_source,image_status,matching_method,confidence,qa_status,notes
331/34525,CONTROL PIVOT,Engine Parts,p045_r10_10.webp,179x141,/images/products/331-34525-control-pivot.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 45 row 10; geometry preserved.
331/39126,LOADER SAFETY STRUT 690mm,Body Parts,p016_r37_8.webp,248x140,/images/products/331-39126-loader-safety-strut-690mm.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 16 row 37; geometry preserved.
331/66784,GAS STRUT 157>245,Cabin Parts,p033_r56_14.webp,244x141,/images/products/331-66784-gas-strut-157245.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 33 row 56; geometry preserved.
331/66785,GAS STRUT 327-585,Cabin Parts,p034_r57_1.webp,250x137,/images/products/331-66785-gas-strut-327-585.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 34 row 57; geometry preserved.
332/C0010,QUICK CONNECTOR,Engine Parts,p050_r76_5.webp,190x141,/images/products/332-c0010-quick-connector.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 50 row 76; geometry preserved.
332/C3148,HELLA HIGH CAPACIT,Electrical Parts,p039_rx_7.webp,172x132,/images/products/332-c3148-hella-high-capacit.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 39 row null; geometry preserved.
332/C4382,SCAVENGE HOSE,Engine Parts,p050_r77_6.webp,239x87,/images/products/332-c4382-scavenge-hose.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 50 row 77; geometry preserved.
332/D6723,FILTER/PUMPASSY,Filters,p055_r38_9.webp,199x141,/images/products/332-d6723-filter-pumpassy.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 55 row 38; geometry preserved.
332/E8224,SEAL KIT 90X60,Seals & Seal Kits,p077_r62_5.webp,251x173,/images/products/332-e8224-seal-kit-90x60.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 77 row 62; geometry preserved.
332/F9028,TWIN PUMP 33/23ccr,Hydraulic / Pump Drive,p063_r11_11.webp,222x122,/images/products/332-f9028-twin-pump-33-23ccr.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 63 row 11; geometry preserved.
