external_product_name,external_part_numbers,external_category,external_product_url,external_image_url,match_confidence,matched_rre_part_number,matched_rre_description,matched_rre_slug,matched_rre_category,matched_rre_current_image_status,token_similarity,reconciliation_action
Bonnet Release Cable Control,910/28700,Cables,https://www.antheautoparts.com/product-details/bonnet-release-cable-control-910-28700-jcb-spare-parts-dealer,https://enterprise.saioautomotive.com/backend/assets/uploads/products/aXdaMFNBZ1pzZzlUcU9VMGNRQkVMQT09_1745060486_0.jpg,EXACT,910/28700,CABLE,910-28700-cable,Cables,source_image,0.25,CROSS_REFERENCE_CONFIRMED
Cable Brake Control,910/34600 | 910/28000,Cables,https://www.antheautoparts.com/product-details/cable-brake-control-910-34600-910-28000-jcb-spare-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/aUIybUZETXBoQXNCNXdtN1IyR3ppQT09_1745060545_0.jpg,EXACT,910/34600,CABLE45-0309-g',910-34600-cable45-0309-g,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Lever Assembly Throttle Control,910/42501,Cables,https://www.antheautoparts.com/product-details/lever-assembly-throttle-control-910-42501-jcb-parts-near-me,https://enterprise.saioautomotive.com/backend/assets/uploads/products/bkczZm1SNU1jSnUrb29JU1hDNXlBQT09_1745060679_0.jpg,EXACT,910/42501,LEVERASSY,910-42501-leverassy,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assy. With Lever,910/44400 | 910/34900,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assy-with-lever-910-44400-910-34900-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/Y0Q0VFZEMjl3ajFNMTVoNUFGTTJBZz09_1745060768_0.jpg,EXACT,910/44400,CABLEC/WLEVER',910-44400-cablec-wlever,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assy. With Lever,910/45400,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assy-with-lever-910-45400-jcb-aftermarket-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/N0RmVnVCQ2JXclh1anV5RFBJVTlMZz09_1745060812_0.jpg,HIGH,910/45400,ACC. CONTROL LEVER/CABLE,910-45400-acc-control-lever-cable,Cables,source_image,0.33,CROSS_REFERENCE_CONFIRMED
Throttle Cable,910/45401,Cables,https://www.antheautoparts.com/product-details/throttle-cable-910-45401-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/RXNCWndlclNWNlJ6Q1d3aHdGOVhYdz09_1745060866_0.jpg,EXACT,910/45401,ACC.CONTROLLEVER/CABLE,910-45401-acccontrollever-cable,Cables,source_image,0.25,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assy. With Lever,910/48800,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assy-with-lever-910-48800-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZUhwQjZPU1J4cDk5OC9yMXdnRUl6dz09_1745060924_0.jpg,EXACT,910/48800,TH. CONTROL CABLE,910-48800-th-control-cable,Cables,source_image,0.17,CROSS_REFERENCE_CONFIRMED
Throttle Cable,910/48801,Cables,https://www.antheautoparts.com/product-details/throttle-cable-910-48801-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/a0xpYXRYbmdwcDlhYlFML09rejdsQT09_1745060971_0.jpg,EXACT,910/48801,CABLE THROT INNER,910-48801-cable-throt-inner,Cables,source_image,0.25,CROSS_REFERENCE_CONFIRMED
Parking Brake Cable 1220mm,910/50400,Cables,https://www.antheautoparts.com/product-details/parking-brake-cable-1220mm-910-50400-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/OVgzZmU3WXlTOGN6QzZueUdTVWVxdz09_1745061047_0.jpg,HIGH,910/50400,PARK BRAKE CABLE,910-50400-park-brake-cable,Cables,source_image,0.4,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assy. With Lever,910/60109,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assy-with-lever-910-60109-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/Z1Qzb2kvZ0NPTzQ1N2didnFEZWJ0UT09_1745061441_0.jpg,EXACT,910/60109,THROTTLECONTROLASSY',910-60109-throttlecontrolassy,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assy. With Lever & Knob,910/60236 | 910/60204,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assy-with-lever-knob-910-60236-910-60204-jcb-parts-near-me,https://enterprise.saioautomotive.com/backend/assets/uploads/products/MnlGaGd0SHhSMEdpZmhGTUNrbTA5QT09_1745061529_0.jpg,EXACT,910/60236,THROTTLECABLE,910-60236-throttlecable,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Control Cable,910/60216,Cables,https://www.antheautoparts.com/product-details/throttle-control-cable-910-60216-jcb-aftermarket-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/dm03bU9oZWZyTVJ2RjhNbjlMaGEzdz09_1745061577_0.jpg,EXACT,910/60216,CABLEthrottlecon,910-60216-cablethrottlecon,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Boom Lock Cable,,Cables,https://www.antheautoparts.com/product-details/boom-lock-cable-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZEo5cVZtQ2piYXFpS29sZGZydVVxdz09_1745061616_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Cable,910/60107,Cables,https://www.antheautoparts.com/product-details/cable-910-60107-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/WWM4MzdablNiZEt1YzZkcWJQMWx2dz09_1745061680_0.jpg,HIGH,910/60107,CABLE BOOMLOCK C/M,910-60107-cable-boomlock-c-m,Cables,source_image,0.5,CROSS_REFERENCE_CONFIRMED
Cable Lock Assembly Boom,910/48400,Cables,https://www.antheautoparts.com/product-details/cable-lock-assembly-boom-910-48400-jcb-spare-parts-dealer,https://enterprise.saioautomotive.com/backend/assets/uploads/products/Y2hvRllXaGd3T2d5Vlc4Ly9tSGF1UT09_1745061732_0.jpg,EXACT,910/48400,CABLEASSYBOOMLOCKCENT,910-48400-cableassyboomlockcent,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Cable Assembly With Lever and Knob,910/52501,Cables,https://www.antheautoparts.com/product-details/throttle-cable-assembly-with-lever-and-knob-910-52501-jcb-spare-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/NmV0Q0tHM2djeXZldlZpQWVjUU1Vdz09_1745061860_0.jpg,EXACT,910/52501,THROTTLELEVER(213)',910-52501-throttlelever-213,Category under review,placeholder_image,0,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
Accelerator Cable,331/51612,Cables,https://www.antheautoparts.com/product-details/accelerator-cable-331-51612-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/OEI3Z21HVUprb2ZmZXczRHZiYXBGQT09_1745061934_0.jpg,EXACT,331/51612,CABLEACCELERATOR,331-51612-cableaccelerator,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Park Brake Cable,910/M1244 | 910/60203,Cables,https://www.antheautoparts.com/product-details/park-brake-cable-910-m1244-910-60203-jcb-spare-parts-dealer,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZzVuQWRaRCs2MGZ6ejZ0Kzh3T3RHUT09_1745062202_0.jpg,EXACT,910/M1244,Cableparkbrake,910-m1244-cableparkbrake,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Hand Brake Cable,910/60253,Cables,https://www.antheautoparts.com/product-details/hand-brake-cable-910-60253-jcb-spare-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/WXpBMDYrK05PU3poelNxU21wdTFFQT09_1745062115_0.jpg,EXACT,910/60253,(W)(Pre-P)-CABLEparkbrake3C',910-60253-w-pre-p-cableparkbrake3c,Cables,placeholder_image,0,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
Forward & Reverse Column Switch,701/80144,Column Switch,https://www.antheautoparts.com/product-details/forward-reverse-column-switch-701-80144-jcb-spare-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/MlhPK2NRam5iVEgvbnp4dlpHL2lpQT09_1745209117_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Forward & Reverse Powershift Column Switch,701/80145,Column Switch,https://www.antheautoparts.com/product-details/forward-reverse-powershift-column-switch-701-80145-jcb-spare-parts-dealer,https://enterprise.saioautomotive.com/backend/assets/uploads/products/bWx0YTZRV3J1cXFlamZwTE41RVcrdz09_1745209287_0.jpg,HIGH,701/80145,COLUMN SWITCH P/SHIFT,701-80145-column-switch-p-shift,Column Switch,source_image,0.33,CROSS_REFERENCE_CONFIRMED
Forward & Reverse Column Switch Left Hand,701/80165,Column Switch,https://www.antheautoparts.com/product-details/forward-reverse-column-switch-left-hand-701-80165-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/blJvVWRYbHdJNVRsQWZQVWxxSEpPQT09_1745209396_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Switch Column Manual Transmission,701/80295,Column Switch,https://www.antheautoparts.com/product-details/switch-column-manual-transmission-701-80295-jcb-spare-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/M2VTWkdQaXg1Q1gzVUlFcjBUaVFxUT09_1745209584_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Forward & Reverse Column Switch - P21,701/80296,Column Switch,https://www.antheautoparts.com/product-details/forward-reverse-column-switch-p21-701-80296-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/K3RpRElPbFA5Y0tYNFN5RmdsQU4rdz09_1745209640_0.jpg,HIGH,701/80296,SWITCH FORWARD & REVERSE LEFT HAND HANDL,701-80296-switch-forward-reverse-left-hand-handl,Column Switch,source_image,0.38,CROSS_REFERENCE_CONFIRMED
Lights & Wiper Column Switch - P21,701/80297,Column Switch,https://www.antheautoparts.com/product-details/lights-wiper-column-switch-p21-701-80297-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/aGswTE91ZC8zeUFxVU1lUWtHM0RHQT09_1745209809_0.jpg,HIGH,701/80297,COLUMN SWITCH RH,701-80297-column-switch-rh,Column Switch,source_image,0.33,CROSS_REFERENCE_CONFIRMED
Forward & Reverse Column Switch Power Shift,701/80298,Column Switch,https://www.antheautoparts.com/product-details/forward-reverse-column-switch-power-shift-701-80298-jcb-spare-parts-dealer,https://enterprise.saioautomotive.com/backend/assets/uploads/products/aElhTHoydWVMaENjWWhmLzV4UTRYQT09_1745209860_0.jpg,EXACT,701/80298,SWITCH FOR & REV,701-80298-switch-for-rev,Column Switch,source_image,0.14,CROSS_REFERENCE_CONFIRMED
Auto Power Shift Column Switch Forward & Reverse,701/80299,Column Switch,https://www.antheautoparts.com/product-details/auto-power-shift-column-switch-forward-reverse-701-80299-jcb-aftermarket-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cmtOdTJGK0U5ejVCZG1rSzFjTjUzZz09_1745209947_0.jpg,HIGH,701/80299,SWITCH FORWARD & REVERSE LT HAND HANDLE,701-80299-switch-forward-reverse-lt-hand-handle,Column Switch,source_image,0.3,CROSS_REFERENCE_CONFIRMED
